"","year","HomeTeam","AwayTeam","HomeScore","AwayScore","Locationplayed","ContinentPlayed","AwayContinent"
"1","1991","China","Denmark",2,2,"China","Asia","Europe"
"2","1991","China","New Zealand",4,1,"China","Asia","Australia"
"3","1991","China","Norway",4,0,"China","Asia","Europe"
"4","1991","China","Sweden",0,1,"China","Asia","Europe"
"5","1995","Sweden","Brazil",0,1,"Sweden","Europe","South America"
"6","1995","Sweden","China",1,1,"Sweden","Europe","Asia"
"7","1995","Sweden","Germany",3,2,"Sweden","Europe","Europe"
"8","1995","Sweden","Japan",2,0,"Sweden","Europe","Asia"
"9","1999","United States","Brazil",2,0,"United States","North America","South America"
"10","1999","United States","Denmark",3,0,"United States","North America","Europe"
"11","1999","United States","Germany",3,2,"United States","North America","Europe"
"12","1999","United States","Nigeria",7,1,"United States","North America","Africa"
"13","1999","United States","North Korea",3,0,"United States","North America","Asia"
"14","2003","United States","Canada",3,1,"United States","North America","North America"
"15","2003","United States","Germany",0,3,"United States","North America","Europe"
"16","2003","United States","Nigeria",5,0,"United States","North America","Africa"
"17","2003","United States","Norway",1,0,"United States","North America","Europe"
"18","2003","United States","Sweden",3,1,"United States","North America","Europe"
"19","2007","China","Denmark",3,2,"China","Asia","Europe"
"20","2007","China","New Zealand",2,0,"China","Asia","Australia"
"21","2011","Germany","Canada",2,1,"Germany","Europe","North America"
"22","2011","Germany","Japan",0,1,"Germany","Europe","Asia"
"23","2011","Germany","Nigeria",1,0,"Germany","Europe","Africa"
"24","2015","Canada","China",1,0,"Canada","North America","Asia"
"25","2015","Canada","Switzerland",1,0,"Canada","North America","Europe"
"26","2019","France","Brazil",2,1,"France","Europe","South America"
"27","2019","France","Norway",2,1,"France","Europe","Europe"
"28","2019","France","South Korea",4,0,"France","Europe","Asia"
"29","2019","France","United States",1,2,"France","Europe","North America"
"30","2023","New Zealand","Norway",1,0,"New Zealand","Australia","Europe"
"31","2023","Australia","Ireland",1,0,"Australia","Australia","Europe"
"32","2023","New Zealand","Phillipines",0,1,"New Zealand","Australia","Asia"
"33","2023","Australia","Nigeria",2,3,"Australia","Australia","Africa"
"34","2023","Australia","Canada",4,0,"Australia","Australia","North America"
"35","2023","Australia","Denmark",2,0,"Australia","Australia","Europe"
"36","2023","Australia","England",1,3,"Australia","Australia","Europe"
"37","2023","Australia","Sweden",0,2,"Australia","Australia","Europe"
