"","year","HomeTeam","AwayTeam","HomeScore","AwayScore","Locationplayed","ContinentPlayed","AwayContinent"
"1","1991","Brazil","Sweden",0,2,"China","Asia","Europe"
"2","1991","Brazil","United States",0,5,"China","Asia","North America"
"3","1991","China","Denmark",2,2,"China","Asia","Europe"
"4","1991","China","New Zealand",4,1,"China","Asia","Australia"
"5","1991","China","Norway",4,0,"China","Asia","Europe"
"6","1991","China","Sweden",0,1,"China","Asia","Europe"
"7","1991","Chinese Taipei","Germany",0,3,"China","Asia","Europe"
"8","1991","Chinese Taipei","Italy",0,5,"China","Asia","Europe"
"9","1991","Chinese Taipei","Nigeria",2,0,"China","Asia","Africa"
"10","1991","Denmark","Germany",1,2,"China","Asia","Europe"
"11","1991","Denmark","New Zealand",3,0,"China","Asia","Australia"
"12","1991","Germany","Nigeria",4,0,"China","Asia","Africa"
"13","1991","Germany","United States",2,5,"China","Asia","North America"
"14","1991","Italy","Germany",0,2,"China","Asia","Europe"
"15","1991","Italy","Nigeria",1,0,"China","Asia","Africa"
"16","1991","Japan","Brazil",0,1,"China","Asia","South America"
"17","1991","Japan","Sweden",0,8,"China","Asia","Europe"
"18","1991","Japan","United States",0,3,"China","Asia","North America"
"19","1991","Norway","Denmark",2,1,"China","Asia","Europe"
"20","1991","Norway","Italy",3,2,"China","Asia","Europe"
"21","1991","Norway","New Zealand",4,0,"China","Asia","Australia"
"22","1991","Norway","United States",1,2,"China","Asia","North America"
"23","1991","Sweden","Germany",4,0,"China","Asia","Europe"
"24","1991","Sweden","Norway",1,4,"China","Asia","Europe"
"25","1991","Sweden","United States",2,3,"China","Asia","North America"
"26","1991","United States","Chinese Taipei",7,0,"China","Asia","Asia"
"27","1995","Brazil","Germany",1,6,"Sweden","Europe","Europe"
"28","1995","Brazil","Japan",1,2,"Sweden","Europe","Asia"
"29","1995","China","Australia",4,2,"Sweden","Europe","Australia"
"30","1995","China","Denmark",3,1,"Sweden","Europe","Europe"
"31","1995","China","United States",0,2,"Sweden","Europe","North America"
"32","1995","Denmark","Australia",5,0,"Sweden","Europe","Australia"
"33","1995","England","Canada",3,2,"Sweden","Europe","North America"
"34","1995","Germany","China",1,0,"Sweden","Europe","Asia"
"35","1995","Germany","England",3,0,"Sweden","Europe","Europe"
"36","1995","Germany","Japan",1,0,"Sweden","Europe","Asia"
"37","1995","Germany","Norway",0,2,"Sweden","Europe","Europe"
"38","1995","Japan","United States",0,4,"Sweden","Europe","North America"
"39","1995","Nigeria","Canada",3,3,"Sweden","Europe","North America"
"40","1995","Nigeria","England",2,3,"Sweden","Europe","Europe"
"41","1995","Norway","Canada",7,0,"Sweden","Europe","North America"
"42","1995","Norway","Denmark",3,1,"Sweden","Europe","Europe"
"43","1995","Norway","England",2,0,"Sweden","Europe","Europe"
"44","1995","Norway","Nigeria",8,0,"Sweden","Europe","Africa"
"45","1995","Sweden","Brazil",0,1,"Sweden","Europe","South America"
"46","1995","Sweden","China",1,1,"Sweden","Europe","Asia"
"47","1995","Sweden","Germany",3,2,"Sweden","Europe","Europe"
"48","1995","Sweden","Japan",2,0,"Sweden","Europe","Asia"
"49","1995","United States","Australia",4,1,"Sweden","Europe","Australia"
"50","1995","United States","China",3,3,"Sweden","Europe","Asia"
"51","1995","United States","Denmark",2,0,"Sweden","Europe","Europe"
"52","1995","United States","Norway",0,1,"Sweden","Europe","Europe"
"53","1999","Australia","Ghana",1,1,"United States","North America","Africa"
"54","1999","Australia","Sweden",1,3,"United States","North America","Europe"
"55","1999","Brazil","Italy",2,0,"United States","North America","Europe"
"56","1999","Brazil","Mexico",7,1,"United States","North America","North America"
"57","1999","Brazil","Nigeria",4,3,"United States","North America","Africa"
"58","1999","Canada","Russia",1,4,"United States","North America","Asia"
"59","1999","China","Australia",3,1,"United States","North America","Australia"
"60","1999","China","Ghana",7,0,"United States","North America","Africa"
"61","1999","China","Russia",2,0,"United States","North America","Asia"
"62","1999","China","Sweden",2,1,"United States","North America","Europe"
"63","1999","Germany","Brazil",3,3,"United States","North America","South America"
"64","1999","Germany","Italy",1,1,"United States","North America","Europe"
"65","1999","Germany","Mexico",6,0,"United States","North America","North America"
"66","1999","Ghana","Sweden",0,2,"United States","North America","Europe"
"67","1999","Japan","Canada",1,1,"United States","North America","North America"
"68","1999","Japan","Russia",0,5,"United States","North America","Asia"
"69","1999","Mexico","Italy",0,2,"United States","North America","Europe"
